 
 
 
 
 
 
                         MATH/LIBRARY ROUTINE LIST
 
 
Routine      Library      Diskette       Routine      Library      Diskette
-------      -------      --------       -------      -------      --------
 
ACBCB    SMATH9             20           DBS3DR   DMATH3B            28
DACBCB   DMATH9             39           BS3IG    SMATH3B             9
ACHAR    MATHCORE            1           DBS3IG   DMATH3B            28
IADD     BLAS                2           BS3IN    SMATH3B             9
SADD     BLAS                2           DBS3IN   DMATH3B            28
DADD     BLAS                2           BS3VL    SMATH3B             9
CADD     BLAS                2           DBS3VL   DMATH3B            28
ZADD     BLAS                2           BSCPP    SMATH3B             9
AMACH    MATHCORE            1           DBSCPP   DMATH3B            28
ISAMAX   BLAS                2           BSDER    SMATH3B             9
IDAMAX   BLAS                2           DBSDER   DMATH3B            28
ICAMAX   BLAS                2           BSINT    SMATH3B             9
IZAMAX   BLAS                2           DBSINT   DMATH3B            28
ISAMIN   BLAS                2           BSITG    SMATH3B             9
IDAMIN   BLAS                2           DBSITG   DMATH3B            28
ICAMIN   BLAS                2           BSLS2    SMATH3B             9
IZAMIN   BLAS                2           DBSLS2   DMATH3B            28
ARBRB    SMATH9             20           BSLSQ    SMATH3B             9
DARBRB   DMATH9             39           DBSLSQ   DMATH3B            28
SAXPY    BLAS                2           BSNAK    SMATH3B             9
DAXPY    BLAS                2           DBSNAK   DMATH3B            28
CAXPY    BLAS                2           BSOPK    SMATH3B             9
ZAXPY    BLAS                2           DBSOPK   DMATH3B            28
BCLSF    SMATH8A            18           BSVAL    SMATH3B             9
DBCLSF   DMATH8A            37           DBSVAL   DMATH3B            28
BCLSJ    SMATH8A            18           BSVLS    SMATH3B             9
DBCLSJ   DMATH8A            37           DBSVLS   DMATH3B            28
BCOAH    SMATH8A            18           BVPFD    SMATH5A            13
DBCOAH   DMATH8A            37           DBVPFD   DMATH5A            32
BCODH    SMATH8A            18           BVPMS    SMATH5A            13
DBCODH   DMATH8A            37           DBVPMS   DMATH5A            32
BCONF    SMATH8A            18           CCBCB    SMATH9             20
DBCONF   DMATH8A            37           DCCBCB   DMATH9             39
BCONG    SMATH8A            18           CCBCG    SMATH9             20
DBCONG   DMATH8A            37           DCCBCG   DMATH9             39
BCPOL    SMATH8A            18           CCGCB    SMATH9             20
DBCPOL   DMATH8A            37           DCCGCB   DMATH9             39
BLINF    SMATH9             20           CCGCG    SMATH9             20
DBLINF   DMATH9             39           DCCGCG   DMATH9             39
BS2DR    SMATH3B             9           CDGRD    SMATH8B            19
DBS2DR   DMATH3B            28           DCDGRD   DMATH8B            38
BS2IG    SMATH3B             9           CHBCB    SMATH9             20
DBS2IG   DMATH3B            28           DCHBCB   DMATH9             39
BS2IN    SMATH3B             9           CHFCG    SMATH9             20
DBS2IN   DMATH3B            28           DCHFCG   DMATH9             39
BS2VL    SMATH3B             9           CHGRD    SMATH8B            19
DBS2VL   DMATH3B            28           DCHGRD   DMATH8B            38
BS3DR    SMATH3B             9           CHHES    SMATH8B            19
 
 
                                      15
 
 
 
 
 
 
 
 
 
Routine      Library      Diskette       Routine      Library      Diskette
-------      -------      --------       -------      -------      --------
 
DCHHES   DMATH8B            38           CSVAL    SMATH3A             8
